"","X","brand","model","year","price","transmission","fuelType","engineSize","kmpl","kilometraggio"
"1",5,"Audi"," A3",2019,20068,"Manual","Petrol",1,17.4801762114537,3197
"2",9,"Audi"," A3",2015,11832,"Manual","Petrol",1.4,21.1806167400881,73779
"3",11,"Audi"," A3",2017,18676,"Manual","Petrol",1.4,20.7577092511013,46328
"4",14,"Audi"," A3",2017,19024,"Manual","Petrol",1.4,20.7577092511013,34712
"5",16,"Audi"," A3",2017,16820,"Automatic","Petrol",1.4,20.7577092511013,41850
"6",18,"Audi"," A3",2014,16124,"Automatic","Petrol",1.4,19.9118942731278,48826
"7",40,"Audi"," A3",2017,19836,"Manual","Diesel",2,23.1541850220264,47272
"8",41,"Audi"," A3",2015,13108,"Manual","Diesel",2,24.2819383259912,120990
"9",46,"Audi"," A3",2019,18212,"Manual","Petrol",1,17.4801762114537,3246
"10",56,"Audi"," A3",2015,17400,"Automatic","Petrol",1.8,15.0837004405286,90066
"11",59,"Audi"," A3",2016,11832,"Manual","Diesel",1.6,29.2863436123348,106190
"12",62,"Audi"," A3",2016,12296,"Manual","Diesel",1.6,24.8810572687225,60544
"13",63,"Audi"," A3",2017,18560,"Manual","Diesel",1.6,23.7180616740088,41998
"14",66,"Audi"," A3",2018,21982,"Manual","Petrol",1.5,19.136563876652,28787
"15",69,"Audi"," A3",2013,13340,"Automatic","Petrol",1.8,17.7621145374449,82306
"16",71,"Audi"," A3",2016,14500,"Manual","Diesel",2,23.7180616740088,31190
"17",73,"Audi"," A3",2017,15196,"Manual","Diesel",2,23.1541850220264,41544
"18",74,"Audi"," A3",2016,9628,"Manual","Diesel",2,24.2819383259912,141144
"19",75,"Audi"," A3",2019,18560,"Manual","Petrol",1,17.4801762114537,9126
"20",82,"Audi"," A3",2016,13108,"Manual","Diesel",1.6,26.1850220264317,41002
"21",83,"Audi"," A3",2016,16356,"Manual","Petrol",1.4,21.1806167400881,16736
"22",91,"Audi"," A3",2019,29578.84,"Semi-Auto","Petrol",1.5,15.5418502202643,6400
"23",119,"Audi"," A3",2016,17980,"Manual","Petrol",1.4,20.2995594713656,40602
"24",121,"Audi"," A3",2017,13340,"Manual","Diesel",2,23.7180616740088,102731
"25",132,"Audi"," A3",2019,21750,"Manual","Petrol",1.5,15.7885462555066,4403
"26",135,"Audi"," A3",2017,15544,"Manual","Diesel",1.6,24.2819383259912,40731
"27",152,"Audi"," A3",2013,9628,"Manual","Diesel",1.6,26.1850220264317,158304
"28",165,"Audi"," A3",2014,13456,"Manual","Diesel",2,23.7180616740088,69859
"29",169,"Audi"," A3",2014,13337.68,"Semi-Auto","Petrol",1.8,17.7621145374449,65291
"30",190,"Audi"," A3",2016,13917.68,"Manual","Diesel",1.6,26.1850220264317,39149
"31",192,"Audi"," A3",2019,20862.6,"Manual","Diesel",1.6,18.1145374449339,13518
"32",194,"Audi"," A3",2018,19702.6,"Semi-Auto","Petrol",1,21.1806167400881,38176
"33",205,"Audi"," A3",2019,25502.6,"Semi-Auto","Petrol",1.5,14.8722466960352,3245
"34",209,"Audi"," A3",2019,34782.6,"Automatic","Petrol",1.5,14.625550660793,4995
"35",239,"Audi"," A3",2019,27822.6,"Automatic","Petrol",1.5,15.7885462555066,16
"36",244,"Audi"," A3",2019,25514.2,"Manual","Diesel",1.6,19.136563876652,16
"37",247,"Audi"," A3",2019,24690.6,"Manual","Diesel",1.6,18.1145374449339,16
"38",251,"Audi"," A3",2014,17394.2,"Semi-Auto","Petrol",1.8,15.0837004405286,43768
"39",253,"Audi"," A3",2014,12742.6,"Automatic","Petrol",1.2,19.9118942731278,16854
"40",254,"Audi"," A3",2016,15074.2,"Manual","Diesel",2,24.8810572687225,41432
"41",267,"Audi"," A3",2017,22037.68,"Semi-Auto","Petrol",1.4,19.9118942731278,35672
"42",269,"Audi"," A3",2018,23194.2,"Manual","Petrol",1.5,14.8722466960352,40000
"43",286,"Audi"," A3",2019,27242.6,"Manual","Diesel",2,19.9118942731278,16
"44",304,"Audi"," A3",2018,25850.6,"Automatic","Diesel",1.6,18.431718061674,10806
"45",306,"Audi"," A3",2017,29000,"Semi-Auto","Petrol",2,14.625550660793,26725
"46",308,"Audi"," A3",2013,15660,"Semi-Auto","Diesel",2,20.7577092511013,71048
"47",310,"Audi"," A3",2015,16008,"Semi-Auto","Diesel",2,20.2995594713656,98893
"48",312,"Audi"," A3",2018,23194.2,"Manual","Petrol",2,17.4801762114537,30400
"49",314,"Audi"," A3",2014,13746,"Manual","Diesel",2,24.2819383259912,81440
"50",329,"Audi"," A3",2014,19122.6,"Manual","Petrol",2,14.2378854625551,41222
"51",332,"Audi"," A3",2016,17394.2,"Manual","Petrol",1.4,21.1806167400881,47640
"52",336,"Audi"," A3",2019,28982.6,"Automatic","Diesel",1.6,18.431718061674,3611
"53",337,"Audi"," A3",2019,28402.6,"Manual","Diesel",1.6,18.1145374449339,6462
"54",338,"Audi"," A3",2016,19122.6,"Manual","Petrol",1.4,18.431718061674,33986
"55",344,"Audi"," A3",2015,16234.2,"Manual","Diesel",2,23.7180616740088,68763
"56",347,"Audi"," A3",2018,18554.2,"Manual","Petrol",1.5,19.9118942731278,28075
"57",348,"Audi"," A3",2020,41754.2,"Semi-Auto","Petrol",2,12.2995594713656,502
"58",361,"Audi"," A3",2019,24342.6,"Semi-Auto","Petrol",1.5,15.3303964757709,5454
"59",371,"Audi"," A3",2016,18554.2,"Manual","Petrol",1,21.1806167400881,23042
"60",372,"Audi"," A3",2016,23194.2,"Semi-Auto","Petrol",2,16.8810572687225,31088
"61",385,"Audi"," A3",2019,35954.2,"Semi-Auto","Petrol",2,12.15859030837,7278
"62",389,"Audi"," A3",2016,19714.2,"Manual","Petrol",1.4,21.1806167400881,26488
"63",393,"Audi"," A3",2016,16234.2,"Manual","Petrol",1.4,21.1806167400881,58254
"64",396,"Audi"," A3",2018,20288.4,"Manual","Diesel",1.6,23.7180616740088,26208
"65",397,"Audi"," A3",2015,17388.4,"Semi-Auto","Diesel",2,22.625550660793,48848
"66",399,"Audi"," A3",2017,16234.2,"Manual","Petrol",1.4,21.6387665198238,58240
"67",419,"Audi"," A3",2019,24354.2,"Manual","Diesel",1.6,17.4801762114537,5320
"68",423,"Audi"," A3",2015,14488.4,"Semi-Auto","Petrol",1.4,20.7577092511013,56728
"69",424,"Audi"," A3",2017,16585.68,"Manual","Petrol",1,21.1806167400881,23371
"70",434,"Audi"," A3",2019,23188.4,"Semi-Auto","Diesel",1.6,18.431718061674,9600
